"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"BrienneVonTarth","DAX","1 day",2023-12-06,-3.02772984932886,-0.568771694240143,0.0634510922179464,0.72093121996528,2.59885246665081,-0.164932375697902,0.143139873681548,0.201919659271121,0.228383467915848,0.442931797831591,0.138189242117436,0.230912808163509,0.228383467915848,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2023-12-06,-1.99357393063685,-0.392290832312182,0.233111145345943,0.843211574938733,2.16325561327301,-0.164932375697902,0.0914320777469474,0.11367922830714,0.398043521043845,0.504071975318317,0.116409399448546,0.244727240372959,0.398043521043845,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2023-12-06,-3.32126527152158,-0.543724181724903,0.0686313077538969,0.720872569388264,2.71977200360272,-0.164932375697902,0.157816644791184,0.189395903013501,0.233563683451798,0.442902472543083,0.144235218965031,0.233582784552919,0.233563683451798,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2023-12-06,-2.4907446537134,-0.579831609169323,0.0723407054967317,0.708736393782106,2.17114233281374,-0.164932375697902,0.116290613900775,0.207449616735711,0.237273081194633,0.436834384740004,0.116803735425582,0.222930286399341,0.237273081194633,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2023-12-06,-2.53927492315419,-0.46285190790962,0.0181321784505799,0.534919729579476,2.05215750423174,-0.164932375697902,0.118717127372814,0.148959766105859,0.183064554148481,0.349926052638689,0.110854493996482,0.182304398852465,0.183064554148481,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2023-12-06,-0.859269902555737,0.0606269973882245,0.301754286202982,0.774414090945408,1.54123822687243,-0.164932375697902,0.0347168763428918,0.338339059629189,0.466686661900884,0.469673233321655,0.0853085301285166,0.278944872264627,0.466686661900884,FALSE,TRUE,FALSE
"median_ensemble","DAX","1 day",2023-12-06,-2.4907446537134,-0.46285190790962,0.0686313077538969,0.67988682256411,2.05215750423174,-0.164932375697902,0.116290613900775,0.148959766105859,0.233563683451798,0.422409599131006,0.110854493996482,0.206415631317184,0.233563683451798,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2023-12-06,-1.40372527338609,-0.381923479314761,0.0873535450647722,0.527019368161463,1.63059737371597,-0.164932375697902,0.0619396448844096,0.10849555180843,0.252285920762674,0.345975871929682,0.0897764874706938,0.171694695371178,0.252285920762674,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2023-12-06,-2.76911754776802,-0.491982454759932,0.0856236981900195,0.67988682256411,2.3593827644097,-0.164932375697902,0.130209258603506,0.163525039531015,0.250556073887921,0.422409599131006,0.12621575700538,0.218583145631766,0.250556073887921,TRUE,TRUE,FALSE
"MasterYoda","DAX","1 day",2023-12-06,-0.0165,-0.0085,-0.005,0.0023,0.0231,-0.164932375697902,0.289443132610908,0.234648563546852,0.159932375697902,0.0836161878489508,0.00940161878489509,0.155408375697902,0.159932375697902,FALSE,FALSE,FALSE
