"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"DAX_benchmark","DAX","1 day",2024-02-07,-2.95744044704237,-0.510195319208595,0.073395053896963,0.71565263188873,2.71977200360272,0.247119283199737,0.160227986512105,0.378657301204166,0.173724229302774,0.234266674344497,0.123632636020149,0.214101765476738,0.173724229302774,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2024-02-07,-1.76045915823286,-0.432130669154231,0.147409865754549,0.780289371633145,2.04284540904157,0.247119283199737,0.10037892207163,0.339624976176984,0.0997094174451881,0.266585044216704,0.0897863062920917,0.17921693324052,0.0997094174451881,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2024-02-07,-1.58130788366374,-0.431829054023882,0.084146,0.635143170305135,1.71385127230631,0.247119283199737,0.0914213583431739,0.33947416861181,0.162973283199737,0.194011943552699,0.0733365994553287,0.17224347063255,0.162973283199737,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2024-02-07,-1.6971278,-0.35200337,0.11104679,0.51201737,1.4501346,0.247119283199737,0.0972123541599869,0.299561326599869,0.136072493199737,0.132449043400131,0.0601507658400132,0.145089196639947,0.136072493199737,TRUE,TRUE,FALSE
"BrienneVonTarth","DAX","1 day",2024-02-07,-2.17416315864324,-0.503784506479923,0.099791941757449,0.652691733535567,1.91608048638841,0.247119283199737,0.121064122092149,0.37545189483983,0.147327341442288,0.202786225167915,0.083448060159434,0.186015528740323,0.147327341442288,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2024-02-07,-1.00430271638551,-0.294617916226691,-0.0325419324075149,0.343189725443782,1.11825259509451,0.247119283199737,0.0625710999792626,0.270868599713214,0.279661215607252,0.0480352211220225,0.0435566655947386,0.140938560403298,0.279661215607252,TRUE,TRUE,FALSE
"DaenerysTargaryen","DAX","1 day",2024-02-07,-2.274,-0.636,1.231,3.483,5.373,0.247119283199737,0.126055964159987,0.441559641599869,0.983880716800263,1.61794035840013,0.256294035840013,0.685146143360053,0.983880716800263,TRUE,TRUE,FALSE
"Phoebe","DAX","1 day",2024-02-07,-1.439615,-0.503225,0.084146,0.637513,1.611555,0.247119283199737,0.0843367141599869,0.375172141599869,0.162973283199737,0.195196858400131,0.0682217858400132,0.177180156639947,0.162973283199737,TRUE,TRUE,FALSE
"JakePeralta","DAX","1 day",2024-02-07,-1.47107501824211,-0.431829054023882,0.0159488158731236,0.486680764900714,1.4507875744336,0.247119283199737,0.0859097150720922,0.33947416861181,0.231170467326614,0.119780740850488,0.0601834145616933,0.167303701284539,0.231170467326614,TRUE,TRUE,FALSE
"TormundGiantsbane","DAX","1 day",2024-02-07,-1.58130788366374,-0.381064953303927,0.0408502822304097,0.498884926944267,1.59012742928671,0.247119283199737,0.0914213583431739,0.314092118251832,0.206269000969327,0.125882821872265,0.0671504073043487,0.160963141348189,0.206269000969327,TRUE,TRUE,FALSE
