"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"DAX_benchmark","DAX","1 day",2024-01-31,-3.08480788824722,-0.515136366956526,0.073395053896963,0.71827355543963,2.71977200360272,-0.264911268204138,0.140994831002154,0.125112549376194,0.338306322101101,0.491592411821884,0.149234163590343,0.249048055578335,0.338306322101101,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2024-01-31,-1.75681470173126,-0.498119854693029,0.162318721413612,0.822757297520254,2.08145214455848,-0.264911268204138,0.0745951716763559,0.116604293244446,0.42722998961775,0.543834282862196,0.117318170638131,0.255916381607776,0.42722998961775,TRUE,TRUE,FALSE
"BrienneVonTarth","DAX","1 day",2024-01-31,-2.07477137049359,-0.47454789179028,0.0913628245096327,0.623964912955092,1.82103145970725,-0.264911268204138,0.0904930051144724,0.104818311793071,0.35627409271377,0.444438090579615,0.10429713639557,0.2200641273193,0.35627409271377,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2024-01-31,-1.84320639249184,-0.414219267814386,0.160966222934674,0.785874350523511,2.00992131447917,-0.264911268204138,0.0789147562143851,0.0746539998051242,0.425877491138812,0.525392809363824,0.113741629134165,0.243716137131262,0.425877491138812,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2024-01-31,-1.71978072840026,-0.400171928626505,0.073395053896963,0.570912615635393,1.73657317469014,-0.264911268204138,0.0727434730098061,0.0676303302111837,0.338306322101101,0.417911941919765,0.100074222144714,0.199333257877314,0.338306322101101,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2024-01-31,-1.6953799,-0.35566747,0.099030755,0.5036407,1.4783698,-0.264911268204138,0.0715234315897931,0.0453781008979312,0.363942023204138,0.384275984102069,0.087164053410207,0.190456718640828,0.363942023204138,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2024-01-31,-1.87012530289406,-0.366946611152477,0.0315700394345571,0.466905896720536,1.32111069262644,-0.264911268204138,0.0802607017344961,0.0510176714741697,0.296481307638695,0.365908582462337,0.0793010980415289,0.174593872270245,0.296481307638695,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2024-01-31,-1.00430271638551,-0.296657970288816,-0.0295837451209202,0.316112157751647,1.11825259509451,-0.264911268204138,0.0369695724090688,0.0158733510423392,0.235327523083217,0.290511712977892,0.0691581931649323,0.12956807053549,0.235327523083217,TRUE,TRUE,FALSE
"DaenerysTargaryen","DAX","1 day",2024-01-31,-2.314,-0.383,1.368,3.483,5.339,-0.264911268204138,0.102454436589793,0.0590443658979312,1.63291126820414,1.87395563410207,0.280195563410207,0.789712253640828,1.63291126820414,TRUE,TRUE,FALSE
"Phoebe","DAX","1 day",2024-01-31,-1.608418,-0.521125,0.083733,0.613394,1.471672,-0.264911268204138,0.0671753365897931,0.128106865897931,0.348644268204138,0.439152634102069,0.086829163410207,0.213981653640828,0.348644268204138,TRUE,TRUE,FALSE
